absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-19 01:59:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 02:35:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 03:34:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 04:09:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 05:09:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 05:44:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 06:44:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 07:19:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 08:19:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 08:54:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 09:54:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 10:29:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 11:28:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 12:04:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 12:47:10+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 12:49:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 13:03:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 13:39:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 14:20:40+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 14:26:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 14:26:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 14:26:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 14:38:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 15:13:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 15:52:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 16:03:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 16:13:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 16:48:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
